User ID,User Name,Movie ID,Movie Name,Rating,Rating Date,
7782,blackrose4eva,1045,Resident Evil: Apocalypse,1,Oct/02/'04,
6507,kenopoly,1077,Ace Ventura: When Nature Calls,4,Feb/07/'00,
41,drdevience,1006,Sweetest Thing,4,May/17/'06,
1946,pavel21,365,Sin City,3,Apr/08/'05,
7055,robbruckner,328,Scary Movie 2,1,Feb/11/'02,
554,ed.williamson,2684,The Tourist,4,Dec/11/'10,
2354,mike_bracken,8705,Dead Men Walking,3,Oct/04/'07,
4543,flipperoid,559,Rear Window,5,Jun/16/'06,
2560,garyd,29,Deep Blue Sea,5,Aug/11/'00,
2349,jarvococker,918,Raging Bull,5,Feb/14/'05,
148,andrew_hicks,1503,Rainmaker,3,Dec/27/'99,
2994,katmar,222,Mexican,5,Aug/14/'01,
1587,chad9976,1,Matrix,5,May/14/'08,
370,mike.holmes,445,Lion the Professional,5,Dec/30/'00,
4309,wbdbaj,1294,Hook,5,Nov/03/'01,
2442,rancid1993,301,I Am Legend,4,Dec/27/'07,
5602,wildfire,11,Austin Powers: The Spy Who Shagged Me,5,Jan/14/'00,
5272,greyfan,1063,Cookie's Fortune,4,Sep/07/'00,
2939,pach1908,715,Mr. Deeds,3,Jun/29/'02,
1183,stryke01,622,Bram Stoker's Dracula,4,Mar/24/'00,
4788,scorsesian,40,Titanic,5,Jul/15/'99,
277,pkwbassguy,5488,Gothic,3,May/27/'00,
793,buyme,333,October Sky,5,Apr/10/'00,
538,gaelkm,536,Sideways,4,Sep/18/'04,
2275,abhaille,1181,Midnight in the Garden of Good and Evil,4,Apr/25/'00,
380,lemon_lime,2931,Mean Streets,5,Jul/17/'03,
9884,boardnride,264,Spy Kids,4,Apr/12/'01,
469,jedikermit,8805,Star Trek: Deep Space Nine - Ep. 15,4,Jul/24/'01,
2071,vamarty,30,Shrek,4,May/22/'01,
9144,larryjr20,771,Last of the Mohicans,5,Feb/02/'02,
6710,stloraine,33,Final Destination,4,Apr/08/'00,
7610,petsnpeople,338,Men In Black,4,Jul/23/'00,
980,sweetcece,441,Star Trek II: The Wrath of Khan,5,Oct/30/'01,
6162,cmashby,83,Three Kings,4,Nov/04/'99,
664,dolphinboy,2950,Murphy's Romance,5,Jul/10/'07,
5110,arky333,16,Patriot,3,Jul/05/'00,
2908,jsgoddess,6906,Love in the Afternoon,4,Feb/17/'01,
487,carstairs38,402,Harry Potter and the Goblet of Fire,4,Jul/07/'07,
460,kung_fu_chimp,30,Shrek,5,Jun/09/'01,
654,goatius,4399,Disney's A Christmas Carol,3,Dec/02/'09,
97,stephen_murray,8313,Eel,5,Aug/15/'05,
2994,katmar,1016,Bound,5,Aug/26/'01,
2354,mike_bracken,6184,Martyrs,5,May/11/'09,
602,teskue,1378,Get Over It,3,Mar/18/'01,
134,artbyjude,401,Insomnia,4,Nov/25/'02,
122,cripper,197,Clockwork Orange,5,Dec/20/'02,
128,lynus,1361,Matrix Reloaded,3,Nov/16/'03,
1127,165902,207,8MM,4,Nov/11/'99,
4666,mattachine,5766,Party Monster,3,Aug/02/'04,
4829,cartman_2k,3369,Multiplicity,5,May/22/'00,
295,ynmaeven,1478,Time Bandits,5,Jan/29/'00,
8041,swoeste,424,Silence of the Lambs,5,Jun/27/'00,
2370,keg226,193,Snatch,4,Jun/28/'01,
5377,branrx,221,Patch Adams,5,Jul/08/'01,
645,gungian,150,Bridget Jones' Diary,4,May/13/'01,
6604,ecn71270,6194,Brainstorm,4,Jun/29/'03,
4318,rondo79,13,Erin Brockovich,5,Apr/17/'00,
4813,lawcomic,28,Any Given Sunday,4,Oct/28/'00,
4994,dip88,6352,WWF - Hardcore,4,May/12/'02,
6917,gollygumdrops,8,American Beauty,5,Oct/07/'01,
1082,coldsteel7,7944,Planet 51,2,Nov/28/'09,
556,dlstewart,2259,Judge Dredd,3,Jun/21/'08,
32,carl_lazarevic,431,Star Trek: Nemesis,2,Sep/15/'03,
564,cyndia,2243,Matchstick Men,5,Oct/11/'04,
5251,shadowbox,2075,When We Were Kings,4,Jun/24/'01,
512,beckish,1468,Charlotte's Web,5,Jun/10/'02,
1076,bigbob51,2036,Life and Times of Hank Greenberg,5,May/24/'00,
549,bilbopooh,573,Devil's Advocate,5,Nov/12/'00,
149,mattjoe,9945,Jane Street,1,Dec/11/'03,
8522,calmo28,94,Traffic,5,Jan/05/'01,
1989,clooneyfan,2336,Stripes,4,Jan/23/'00,
1923,pacmany2j,389,National Lampoon's Christmas Vacation,5,Dec/25/'01,
4677,deanparkr,1776,Treasure Planet,4,Jul/31/'03,
1787,sloucho,90,Shanghai Noon,5,Jan/06/'01,
654,goatius,2850,Eagle Eye,2,Oct/20/'08,
7813,leshrak,779,Transporter,2,Oct/23/'02,
8712,malcs,5016,Miserables,5,Aug/15/'00,
5813,jbauguss,6779,Hands On a Hard Body,4,Apr/14/'00,
1427,t13monkeys,2115,Hitman,1,Jan/24/'08,
1923,pacmany2j,665,Kill Bill Vol. 1,2,Dec/26/'04,
579,three_ster,321,Charlie and the Chocolate Factory,2,Nov/23/'05,
48,grouch,214,Instinct,2,Dec/17/'99,
