7782,1045,1
6507,1077,4
41,1006,4
1946,365,3
7055,328,1
554,2684,4
2354,8705,3
4543,559,5
2560,29,5
2349,918,5
148,1503,3
2994,222,5
1587,1,5
370,445,5
4309,1294,5
2442,301,4
5602,11,5
5272,1063,4
2939,715,3
1183,622,4
4788,40,5
277,5488,3
793,333,5
538,536,4
2275,1181,4
380,2931,5
9884,264,4
469,8805,4
2071,30,4
9144,771,5
6710,33,4
7610,338,4
980,441,5
6162,83,4
664,2950,5
5110,16,3
2908,6906,4
487,402,4
460,30,5
654,4399,3
97,8313,5
2994,1016,5
2354,6184,5
602,1378,3
134,401,4
122,197,5
128,1361,3
1127,207,4
4666,5766,3
4829,3369,5
295,1478,5
8041,424,5
2370,193,4
5377,221,5
645,150,4
6604,6194,4
4318,13,5
4813,28,4
4994,6352,4
6917,8,5
1082,7944,2
556,2259,3
32,431,2
564,2243,5
5251,2075,4
512,1468,5
1076,2036,5
549,573,5
149,9945,1
8522,94,5
1989,2336,4
1923,389,5
4677,1776,4
1787,90,5
654,2850,2
7813,779,2
8712,5016,5
5813,6779,4
1427,2115,1
1923,665,2
579,321,2
48,214,2
4239,1963,4
6576,361,4
571,39,5
10,1,5
874,96,3
34,902,2
2355,654,3
1709,2488,5
41,875,5
7874,276,4
549,5268,4
8522,3777,2
1562,1994,5
581,400,3
890,2849,5
4,571,4
4303,2698,5
8701,150,5
1427,4899,3
5295,8,3
1587,817,4
9860,177,2
2362,886,3
4487,5791,3
1766,574,5
1402,4339,5
2255,24,3
2094,68,2
913,7371,4
3416,1256,3
2880,327,5
1593,499,2
342,256,5
2786,5551,4
7117,229,5
1413,1285,3
6409,199,3
3163,872,5
1839,710,5
4076,2989,5
575,3660,3
393,91,5
97,9744,2
200,1142,4
393,176,5
9679,806,2
8675,4563,3
893,26,4
9589,877,4
78,2658,1
4353,3947,3
1529,2185,5
189,825,5
1787,46,3
2939,443,4
8036,8938,4
1502,4448,4
9462,85,5
1562,1066,2
3846,2744,4
138,371,4
1804,121,5
469,1978,4
2351,3426,1
1486,1734,4
2805,1088,2
581,5972,4
579,293,5
1426,924,4
8796,2160,1
226,723,5
614,4023,4
589,2779,5
676,8,4
116,135,3
1209,32,4
2951,521,3
8688,233,5
7412,269,3
2461,518,5
185,35,4
8168,1683,5
4160,707,4
1900,935,1
7460,487,4
82,2102,2
378,3334,2
6177,92,4
1433,1031,4
23,1218,3
2976,959,2
575,1660,5
1611,522,1
